Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
1528 3rd Ave,Aid Response,2025-10-07 07:51:00,47.610024,-122.338043,POINT (-122.338043 47.610024),F250138967
900 University St,Aid Response,2025-10-07 07:50:00,47.61055,-122.329318,POINT (-122.329318 47.61055),F250138966
8414 32nd Ave Sw,Aid Response Yellow,2025-10-07 07:44:00,47.528156,-122.373935,POINT (-122.373935 47.528156),F250138965
7701 Delridge Way Sw,Aid Response,2025-10-07 07:36:00,47.533683,-122.360425,POINT (-122.360425 47.533683),F250138964
1902 2nd Ave,Aid Response,2025-10-07 07:33:00,47.610972,-122.340465,POINT (-122.340465 47.610972),F250138963
20th Ave S / S Mcclellan St,Rubbish Fire,2025-10-07 07:31:00,47.578737,-122.306706,POINT (-122.306706 47.578737),F250138962
22nd Ave Nw / Nw Market St,Aid Response,2025-10-07 07:29:00,47.668678,-122.384746,POINT (-122.384746 47.668678),F250138961
11050 8th Ave Ne,Medic Response,2025-10-07 07:29:00,47.708936,-122.320569,POINT (-122.320569 47.708936),F250138960
4700 38th Ave Sw,Aid Response,2025-10-07 07:28:00,47.561082,-122.380063,POINT (-122.380063 47.561082),F250138959
1102 8th Ave,Medic Response,2025-10-07 07:27:00,47.608665,-122.329131,POINT (-122.329131 47.608665),F250138958
14002 Linden Ave N,Aid Response,2025-10-07 07:25:00,47.730569,-122.347758,POINT (-122.347758 47.730569),F250138957
14002 Linden Ave N,Aid Response,2025-10-07 07:21:00,47.730569,-122.347758,POINT (-122.347758 47.730569),F250138956
4514 S Mead St,Aid Response,2025-10-07 07:21:00,47.550424,-122.277006,POINT (-122.277006 47.550424),F250138955
9009 Greenwood Ave N,Aid Response Yellow,2025-10-07 07:17:00,47.69429,-122.35534,POINT (-122.35534 47.69429),F250138954
590 1st Ave S,Automatic Fire Alarm False,2025-10-07 07:15:00,47.596372,-122.334192,POINT (-122.334192 47.596372),F250138952
1215 4th Ave,Aid Response,2025-10-07 07:10:00,47.607617,-122.334306,POINT (-122.334306 47.607617),F250138950
1701 Broadway,Aid Response,2025-10-07 06:53:00,47.616403,-122.320817,POINT (-122.320817 47.616403),F250138949
10253 31st Ave Sw,Aid Response Yellow,2025-10-07 06:50:00,47.511054,-122.371657,POINT (-122.371657 47.511054),F250138948
4529 44th Ave Sw,Medic Response,2025-10-07 06:47:00,47.562682,-122.388129,POINT (-122.388129 47.562682),F250138946
7016 15th Ave Nw,Bark Fire,2025-10-07 06:47:00,47.679622,-122.37677,POINT (-122.37677 47.679622),F250138945
317 Nw 41st St,Aid Response,2025-10-07 06:44:00,47.656943,-122.361135,POINT (-122.361135 47.656943),F250138943
12501 Greenwood Ave N,Aid Response,2025-10-07 06:44:00,47.719601,-122.355539,POINT (-122.355539 47.719601),F250138944
590 1st Ave S,Auto Fire Alarm,2025-10-07 06:37:00,47.596372,-122.334192,POINT (-122.334192 47.596372),F250138941
105 5th Ave S,Fire in Building,2025-10-07 06:11:00,47.601643,-122.327656,POINT (-122.327656 47.601643),F250138937
2340 Broadmoor Dr E,Aid Response,2025-10-07 06:05:00,47.639708,-122.291527,POINT (-122.291527 47.639708),F250138936
1415 2nd Ave,Aid Response,2025-10-07 05:46:00,47.608434,-122.338125,POINT (-122.338125 47.608434),F250138932
12532 5th Ave Ne,Aid Response,2025-10-07 05:33:00,47.71977,-122.323589,POINT (-122.323589 47.71977),F250138931
11 W Aloha St,Alarm Bell,2025-10-07 05:04:00,47.627192,-122.356823,POINT (-122.356823 47.627192),F250138930
6720 East Green Lake Way N,Aid Response,2025-10-07 04:43:00,47.67834,-122.32895,POINT (-122.32895 47.67834),F250138928
4634 Linden Ave N,Aid Response,2025-10-07 04:37:00,47.662382,-122.348581,POINT (-122.348581 47.662382),F250138926
6360 24th Ave Sw,Engine Code Red,2025-10-07 04:37:00,47.545471,-122.363804,POINT (-122.363804 47.545471),F250138927
9457 25th Ave Sw,Activated CO Detector,2025-10-07 04:32:00,47.518667,-122.364559,POINT (-122.364559 47.518667),F250138925
15th Ave W / W Garfield St,Dumpster Fire,2025-10-07 04:19:00,47.633045,-122.376136,POINT (-122.376136 47.633045),F250138924
501 Rainier Ave S,Rubbish Fire,2025-10-07 04:16:00,47.598322,-122.3134,POINT (-122.3134 47.598322),F250138923
510 Minor Ave N,Medic Response,2025-10-07 03:55:00,47.623222,-122.333001,POINT (-122.333001 47.623222),F250138921
101 John St,Aid Response,2025-10-07 03:52:00,47.619768,-122.355416,POINT (-122.355416 47.619768),F250138920
